Date,Open,High,Low,Close,Adj Close,Volume
1/4/2000,6000,6110,5660,6110,4514.581055,74195000
1/5/2000,5800,6060,5520,5580,4122.973145,74680000
1/6/2000,5750,5780,5580,5620,4152.52832,54390000
1/7/2000,5560,5670,5360,5540,4093.41626,40305000
1/10/2000,5600,5770,5580,5770,4263.360352,46880000
1/11/2000,5820,6100,5770,5770,4263.360352,59745000
1/12/2000,5610,5740,5600,5720,4226.415527,29220000
1/13/2000,5600,5740,5560,5710,4219.02832,41190000
1/14/2000,5720,5880,5680,5830,4307.693359,49375000
1/17/2000,6000,6180,5920,6100,4507.190918,63505000
1/18/2000,6160,6160,5980,6100,4507.190918,45260000
1/19/2000,6000,6040,5960,5960,4403.75,40205000
1/20/2000,5860,6040,5820,6040,4462.859863,37315000
1/21/2000,5950,5980,5880,5880,4344.637695,32535000
1/24/2000,5800,5900,5700,5700,4211.636719,34355000
1/25/2000,5520,5640,5440,5440,4019.530518,44250000
1/26/2000,5500,5520,5410,5480,4049.084717,29285000
1/27/2000,5480,5620,5430,5520,4078.639648,27900000
1/28/2000,5640,5880,5540,5820,4300.303223,38315000
1/31/2000,5640,5730,5560,5580,4122.973145,39630000
2/1/2000,5600,5680,5260,5320,3930.862549,71470000
2/2/2000,5220,5370,5110,5250,3879.141846,64105000
2/3/2000,5250,5460,4970,5130,3790.473633,142765000
2/4/2000,5130,5130,5130,5130,3790.473633,0
2/7/2000,5140,5330,5040,5240,3871.752197,64140000
2/8/2000,5340,5480,5310,5430,4012.139404,58460000
2/9/2000,5560,5720,5480,5720,4226.415527,51050000
2/10/2000,5660,5880,5600,5760,4255.972168,61845000
2/11/2000,5960,5960,5680,5700,4211.636719,34660000
2/14/2000,5600,5660,5340,5380,3975.195313,44140000
2/15/2000,5380,5420,5140,5200,3842.196533,38315000
2/16/2000,5180,5200,4780,5000,3694.420654,73115000
2/17/2000,4940,5100,4910,5080,3753.530273,65185000
2/18/2000,5370,5630,5160,5300,3916.084473,108750000
2/21/2000,5200,5260,5030,5070,3746.143555,26485000
2/22/2000,5000,5240,5000,5120,3783.084717,24180000
2/23/2000,5220,5260,5100,5140,3797.862305,27720000
2/24/2000,5120,5240,5060,5070,3746.143555,26075000
2/25/2000,5080,5150,4980,5120,3783.084717,27875000
2/28/2000,5000,5050,4800,4800,3546.643066,30140000
2/29/2000,4900,5140,4840,5120,3783.084717,51820000
3/1/2000,5120,5120,5120,5120,3783.084717,0
3/2/2000,5880,5880,5520,5880,4344.637695,117750000
3/3/2000,6200,6250,5880,6000,4433.304688,140990000
3/6/2000,6000,6050,5600,5640,4167.305176,39150000
3/7/2000,5600,5640,5480,5620,4152.52832,30070000
3/8/2000,5520,6000,5500,5920,4374.192871,32460000
3/9/2000,5970,5980,5620,5620,4152.52832,55890000
3/10/2000,5790,5800,5520,5540,4093.41626,28605000
3/13/2000,5480,5490,5160,5180,3827.417969,32215000
3/14/2000,5170,5380,5160,5210,3849.585449,30060000
3/15/2000,5200,5400,5120,5400,3989.973633,46105000
3/16/2000,5480,5520,5360,5400,3989.973633,28795000
3/17/2000,5540,5560,5400,5480,4049.084717,24080000
3/20/2000,5600,5710,5530,5660,4182.083008,26365000
3/21/2000,5700,5940,5610,5880,4344.637695,44925000
3/22/2000,5960,6300,5880,6200,4581.080078,86975000
3/23/2000,6480,6580,6200,6200,4581.080078,64950000
3/24/2000,6320,7120,6180,6800,5024.410156,90260000
3/27/2000,6960,7040,6700,6800,5024.410156,67730000
3/28/2000,6900,7260,6820,7030,5194.354004,74425000
3/29/2000,7030,7680,6980,7660,5659.851074,78090000
3/30/2000,7520,7560,7050,7050,5209.132324,74645000
3/31/2000,6800,7070,6650,6700,4950.522461,63855000
4/3/2000,6920,7320,6860,7100,5246.074707,56805000
4/4/2000,7000,7290,6660,6800,5024.410156,58340000
4/5/2000,6800,6800,6800,6800,5024.410156,0
4/6/2000,6860,6960,6680,6680,4935.744141,47235000
4/7/2000,6860,7260,6780,7200,5319.963379,42355000
4/10/2000,7500,7500,7200,7300,5393.854004,35885000
4/11/2000,7200,7200,6950,7100,5246.074707,29075000
4/12/2000,6960,7030,6860,6910,5105.687012,35250000
4/13/2000,6910,6910,6910,6910,5105.687012,0
4/14/2000,6600,6680,6260,6260,4625.414063,62365000
4/17/2000,5420,5750,5340,5520,4078.639648,78050000
