Date,Open,High,Low,Close,Adj Close,Volume
11/18/2022,28009.82031,28045.43945,27877.7793,27899.76953,27899.76953,64800000
11/21/2022,27982,28007.06055,27846.30078,27944.78906,27944.78906,56500000
11/22/2022,28059.50977,28203.34961,28038.16016,28115.74023,28115.74023,75900000
11/24/2022,28373.7207,28502.28906,28363.66016,28383.08984,28383.08984,83900000
11/25/2022,28398.76953,28399.88086,28263.59961,28283.0293,28283.0293,56800000
11/28/2022,28220.56055,28238.5,28046.32031,28162.83008,28162.83008,64600000
11/29/2022,27991.5,28055.91016,27899.98047,28027.83984,28027.83984,64800000
11/30/2022,27886.66992,27972.89063,27802.71094,27968.99023,27968.99023,106600000
12/1/2022,28273.13086,28423.46094,28226.08008,28226.08008,28226.08008,71400000
12/2/2022,27983.17969,27983.17969,27662.11914,27777.90039,27777.90039,79400000
12/5/2022,27752.99023,27854.10938,27700.85938,27820.40039,27820.40039,63900000
12/6/2022,27704.06055,27934.07031,27698.31055,27885.86914,27885.86914,60400000
12/7/2022,27670.28906,27786.25,27646.7793,27686.40039,27686.40039,63000000
12/8/2022,27622.30078,27643.64063,27415.66016,27574.42969,27574.42969,64900000
12/9/2022,27633.96094,27952.80078,27633.96094,27901.00977,27901.00977,70200000
12/12/2022,27741.09961,27865.7207,27734.66016,27842.33008,27842.33008,49600000
12/13/2022,28067.36914,28116.56055,27907.49023,27954.84961,27954.84961,51900000
12/14/2022,28005.0293,28195.68945,27993.7793,28156.21094,28156.21094,54800000
12/15/2022,27991.14063,28163.16992,27987.53906,28051.69922,28051.69922,51100000
12/16/2022,27706.69922,27713.03906,27488.83008,27527.11914,27527.11914,83800000
12/19/2022,27279.91992,27349.58008,27165.7793,27237.64063,27237.64063,58200000
12/20/2022,27257.34961,27339.49023,26416.91016,26568.0293,26568.0293,118500000
12/21/2022,26547.16992,26616.2793,26269.80078,26387.7207,26387.7207,119200000
12/22/2022,26552.42969,26585.2793,26399.31055,26507.86914,26507.86914,73400000
12/23/2022,26207.76953,26291.98047,26106.38086,26235.25,26235.25,75700000
12/26/2022,26299.53906,26438.65039,26294.84961,26405.86914,26405.86914,47300000
12/27/2022,26570.7793,26620.49023,26447.86914,26447.86914,26447.86914,50200000
12/28/2022,26309.33984,26354.26953,26199.66992,26340.5,26340.5,61500000
12/29/2022,26074.90039,26126.69922,25953.91992,26093.66992,26093.66992,63100000
12/30/2022,26288,26321.36914,26067.91992,26094.5,26094.5,52700000
1/4/2023,25834.92969,25840.67969,25661.89063,25716.85938,25716.85938,83300000
1/5/2023,25825.5,25947.09961,25750.46094,25820.80078,25820.80078,72300000
1/6/2023,25740.08008,26034.06055,25719.60938,25973.84961,25973.84961,68200000
1/10/2023,26176.60938,26316.66016,26132.80078,26175.56055,26175.56055,71200000
1/11/2023,26362.21094,26479.99023,26332.05078,26446,26446,62400000
1/12/2023,26524.93945,26547.60938,26381.92969,26449.82031,26449.82031,77000000
1/13/2023,26391.7793,26409.21094,26090.83984,26119.51953,26119.51953,98300000
1/16/2023,25836.66992,25938.03906,25748.09961,25822.32031,25822.32031,71700000
1/17/2023,25915.50977,26198.68945,25895.30078,26138.67969,26138.67969,68100000
1/18/2023,26251.33984,26816.67969,26211.83984,26791.11914,26791.11914,93400000
1/19/2023,26541.08008,26592.86914,26368.9707,26405.23047,26405.23047,68700000
